subject_id,run,session,η,β,s
1,1,glc,0.0006461937072943818,0.06461937072949112,12.105765939017216
2,1,glc,0.044330471163457626,4.433047116345764,0.23959964232931225
3,1,glc,0.015118123795388586,1.5118123795388578,9.16614257203851
4,1,glc,0.1523562664014121,15.235626640142133,9.557703029962013
7,1,glc,0.1715478253077998,17.13440376646767,10.91921242979409
8,1,glc,0.016442097076534292,1.644209707653428,0.10124629981593532
9,1,glc,0.010018428017019517,1.0018428017019516,1.0158563184499954
10,1,glc,0.012813016969693575,1.2813016969693576,4.04601259781361
11,1,glc,0.40601873416385115,40.601873416386866,0.7952498703805889
13,1,glc,0.010003624371008582,1.0003624371008581,1.0034433426498828
16,1,glc,0.49964092382576725,49.96409238257671,35.90431193558385
18,1,glc,0.0004813799700403582,0.04813799699546331,24.180178766813036
19,1,glc,0.02795955454213941,2.795955454219733,8.425346041578742
20,1,glc,0.03562821797698756,3.5628217976987555,2.071758676724599
21,1,glc,0.00017528886221175466,0.017528886218143726,10.459759893214251
22,1,glc,0.12741710779741725,12.741710779745526,0.21754377820908996
28,1,glc,0.11285802905520063,11.285802905395547,1.839132381524828
29,1,glc,0.9954774704008676,99.54774704089193,0.7855922061159006
32,1,glc,0.01163569906990808,1.1635699069908076,2.58427977352534
33,1,glc,0.07816605175104299,7.816605175106394,0.14907213737898792
34,1,glc,0.09816497545575452,9.816497545575452,0.6445171137255838
36,1,glc,0.00048107477068410357,0.04810747679795162,43.78856930211026
37,1,glc,0.22500482195098567,22.500482195099483,35.54876805780279
38,1,glc,0.0002651776236260135,0.02610736417362783,38.14940640257408
40,1,glc,0.5000368206058892,50.003682060638624,2.039690257478952
41,1,glc,0.0007773089395204928,0.07772137683962384,14.022901405394245
43,1,glc,0.038570749392044086,3.8570749392040096,10.253748149292456
101,1,glc,0.01991678001637905,1.991678001637905,2.1689434231240194
102,1,glc,0.09340398540396906,9.340398540396933,0.49517722589973434
104,1,glc,0.7484417151353203,74.84417231507359,1.6785200529783482
105,1,glc,0.022720895676787364,2.2720895675712836,6.386273456731381
106,1,glc,0.1606231978576167,16.062319785986183,11.827257736879165
107,1,glc,0.0004124404138312003,0.015503849757319853,9.239193542206253
111,1,glc,0.0001473801840353858,0.014738018403560683,9.253871847966757
117,1,glc,0.011592520094261021,1.159252009426102,1.6905430879813752
118,1,glc,0.010183373276240715,1.0183373276240715,1.2119438577877406
119,1,glc,0.01013427337976506,1.013427337976506,1.110626024814532
